CISP,mes_ano,munic,roubo_veiculo,furto_veiculos,recuperacao_veiculos
1,2019m01,Rio de Janeiro,2,2,1
1,2019m02,Rio de Janeiro,1,6,3
1,2019m03,Rio de Janeiro,2,4,1
1,2019m04,Rio de Janeiro,1,5,3
1,2019m05,Rio de Janeiro,0,5,0
1,2019m06,Rio de Janeiro,1,2,1
1,2019m07,Rio de Janeiro,2,2,0
1,2019m08,Rio de Janeiro,2,2,0
1,2019m09,Rio de Janeiro,0,2,1
1,2019m10,Rio de Janeiro,0,2,0
1,2019m11,Rio de Janeiro,0,4,0
1,2019m12,Rio de Janeiro,1,4,1
1,2020m01,Rio de Janeiro,0,5,1
1,2020m02,Rio de Janeiro,0,4,0
1,2020m03,Rio de Janeiro,1,5,1
1,2020m04,Rio de Janeiro,1,7,2
1,2020m05,Rio de Janeiro,0,8,0
1,2020m06,Rio de Janeiro,1,7,1
1,2020m07,Rio de Janeiro,0,2,0
1,2020m08,Rio de Janeiro,0,5,2
1,2020m09,Rio de Janeiro,0,6,1
1,2020m10,Rio de Janeiro,0,2,1
1,2020m11,Rio de Janeiro,0,3,1
1,2020m12,Rio de Janeiro,1,3,0
1,2021m01,Rio de Janeiro,0,4,1
1,2021m02,Rio de Janeiro,0,1,1
1,2021m03,Rio de Janeiro,0,2,3
1,2021m04,Rio de Janeiro,0,2,0
1,2021m05,Rio de Janeiro,0,3,0
1,2021m06,Rio de Janeiro,0,3,1
1,2021m07,Rio de Janeiro,3,1,0
1,2021m08,Rio de Janeiro,0,1,0
1,2021m09,Rio de Janeiro,0,0,2
1,2021m10,Rio de Janeiro,2,2,0
1,2021m11,Rio de Janeiro,1,2,2
1,2021m12,Rio de Janeiro,0,0,6
1,2022m01,Rio de Janeiro,1,3,0
1,2022m02,Rio de Janeiro,1,2,0
1,2022m03,Rio de Janeiro,0,2,1
1,2022m04,Rio de Janeiro,0,9,0
1,2022m05,Rio de Janeiro,1,7,0
4,2019m01,Rio de Janeiro,9,6,4
4,2019m02,Rio de Janeiro,11,5,10
4,2019m03,Rio de Janeiro,8,3,4
4,2019m04,Rio de Janeiro,8,1,9
4,2019m05,Rio de Janeiro,6,10,7
4,2019m06,Rio de Janeiro,12,3,11
4,2019m07,Rio de Janeiro,7,2,6
4,2019m08,Rio de Janeiro,4,1,4
4,2019m09,Rio de Janeiro,4,3,2
4,2019m10,Rio de Janeiro,6,7,6
4,2019m11,Rio de Janeiro,4,5,2
4,2019m12,Rio de Janeiro,11,4,4
4,2020m01,Rio de Janeiro,4,5,5
4,2020m02,Rio de Janeiro,9,4,0
